iter	Passed	Remaining
0	144	144368
1	145	72847
2	147	48971
3	148	37056
4	149	29840
5	151	25046
6	152	21597
7	153	19002
8	154	16986
9	155	15356
10	155	14023
11	159	13163
12	168	12755
13	175	12334
14	180	11828
15	183	11312
16	187	10851
17	190	10405
18	194	10033
19	198	9705
20	201	9386
21	205	9118
22	208	8856
23	211	8619
24	215	8414
25	219	8225
26	223	8037
27	225	7820
28	227	7603
29	228	7396
30	230	7203
31	232	7024
32	234	6857
33	235	6684
34	236	6516
35	237	6364
36	238	6218
37	240	6077
38	241	5942
39	242	5811
40	243	5691
41	244	5574
42	245	5458
43	246	5347
44	247	5243
45	250	5190
46	256	5198
47	262	5205
48	269	5229
49	275	5241
50	284	5293
51	292	5333
52	320	5730
53	327	5743
54	329	5667
55	332	5605
56	334	5539
57	336	5469
58	339	5409
59	340	5334
60	341	5261
61	343	5201
62	345	5143
63	347	5079
64	355	5114
65	364	5154
66	366	5097
67	368	5049
68	370	5002
69	372	4951
70	375	4907
71	378	4877
72	380	4834
73	382	4792
74	385	4752
75	387	4715
76	390	4676
77	392	4638
78	394	4602
79	396	4561
80	399	4528
81	401	4498
82	403	4461
83	406	4429
84	407	4385
85	409	4350
86	410	4307
87	412	4272
88	413	4233
89	414	4196
90	416	4157
91	417	4120
92	418	4084
93	420	4048
94	421	4018
95	429	4043
96	432	4028
97	436	4016
98	439	4003
99	443	3988
100	446	3971
101	448	3948
102	451	3930
103	454	3919
104	457	3903
105	460	3885
106	464	3874
107	467	3862
108	470	3850
109	475	3848
110	479	3837
111	481	3815
112	482	3790
113	484	3767
114	486	3742
115	487	3716
116	489	3692
117	490	3664
118	491	3636
119	492	3610
120	493	3584
121	494	3557
122	494	3528
123	495	3502
124	496	3477
125	497	3453
126	499	3430
127	499	3404
128	500	3380
129	507	3393
130	513	3403
131	517	3404
132	518	3382
133	520	3364
134	521	3344
135	524	3329
136	527	3321
137	534	3339
138	538	3335
139	545	3348
140	548	3344
141	552	3339
142	556	3333
143	560	3330
144	564	3328
145	568	3324
146	572	3321
147	576	3317
148	579	3309
149	583	3307
150	587	3300
151	589	3290
152	592	3279
153	594	3264
154	599	3266
155	600	3249
156	602	3234
157	606	3230
158	609	3225
159	614	3224
160	617	3219
161	621	3215
162	624	3207
163	628	3202
164	631	3195
165	635	3193
166	640	3193
167	643	3187
168	647	3184
169	651	3178
170	654	3173
171	657	3167
172	661	3162
173	664	3154
174	667	3146
175	669	3133
176	670	3119
177	672	3105
178	674	3091
179	675	3078
180	676	3061
181	677	3045
182	679	3031
183	680	3017
184	682	3007
185	684	2997
186	686	2984
187	688	2973
188	690	2961
189	692	2950
190	693	2939
191	695	2927
192	697	2916
193	699	2905
194	701	2894
195	702	2882
196	704	2871
197	705	2859
198	707	2848
199	709	2838
200	711	2827
201	712	2816
202	714	2805
203	716	2795
204	718	2784
205	719	2774
206	721	2764
207	723	2754
208	725	2745
209	727	2736
210	729	2726
211	730	2716
212	732	2705
213	733	2695
214	735	2685
215	737	2675
216	739	2666
217	740	2657
218	742	2647
219	744	2637
220	745	2626
221	746	2615
222	747	2604
223	748	2593
224	749	2582
225	750	2571
226	751	2560
227	753	2549
228	754	2538
229	755	2527
230	755	2516
231	758	2509
232	764	2517
233	772	2527
234	774	2519
235	775	2509
236	776	2498
237	777	2488
238	778	2478
239	779	2467
240	780	2457
241	781	2447
242	782	2437
243	783	2427
244	784	2417
245	785	2407
246	786	2398
247	787	2388
248	788	2378
249	789	2368
250	790	2359
251	791	2349
252	792	2340
253	793	2330
254	794	2321
255	795	2312
256	797	2304
257	798	2295
258	799	2286
259	800	2278
260	801	2268
261	802	2260
262	803	2251
263	804	2243
264	805	2234
265	806	2225
266	807	2217
267	809	2209
268	810	2201
269	811	2193
270	812	2185
271	813	2177
272	814	2169
273	815	2161
274	816	2153
275	817	2144
276	818	2136
277	819	2128
278	820	2120
279	821	2112
280	822	2104
281	823	2096
282	826	2093
283	833	2101
284	840	2108
285	841	2100
286	842	2093
287	843	2086
288	844	2078
289	845	2071
290	847	2063
291	848	2056
292	849	2049
293	850	2042
294	851	2034
295	852	2027
296	853	2020
297	854	2013
298	855	2006
299	856	1999
300	857	1992
301	859	1985
302	860	1978
303	861	1972
304	862	1965
305	863	1958
306	864	1951
307	865	1945
308	866	1938
309	867	1931
310	869	1925
311	870	1919
312	871	1912
313	872	1906
314	873	1899
315	874	1893
316	875	1886
317	876	1880
318	877	1873
319	878	1867
320	879	1861
321	880	1854
322	881	1848
323	883	1842
324	884	1836
325	885	1830
326	886	1824
327	887	1818
328	888	1812
329	889	1806
330	890	1799
331	892	1796
332	900	1802
333	907	1809
334	909	1804
335	910	1798
336	911	1793
337	912	1787
338	913	1782
