iter	Passed	Remaining
0	0	779
1	1	736
2	2	725
3	2	696
4	3	708
5	4	709
6	4	688
7	5	675
8	6	661
9	6	655
10	7	647
11	7	651
12	8	652
13	9	647
14	9	643
15	10	638
16	10	634
17	11	633
18	12	633
19	12	629
20	13	629
21	14	625
22	14	622
23	15	618
24	15	615
25	16	614
26	17	613
27	17	610
28	18	608
29	18	609
30	19	610
31	20	606
32	20	603
33	21	605
34	21	602
35	22	600
36	23	601
37	23	599
38	24	599
39	24	596
40	25	596
41	26	594
42	26	593
43	27	592
44	27	592
45	28	591
46	29	589
47	29	589
48	30	589
49	30	588
50	31	587
51	32	587
52	32	586
53	33	584
54	34	585
55	34	584
56	35	583
57	35	584
58	36	583
59	37	581
60	37	582
61	38	581
62	39	580
63	39	579
64	40	578
65	40	578
66	41	578
67	42	577
68	42	576
69	43	577
70	44	576
71	44	575
72	45	574
73	45	572
74	46	570
75	46	569
76	47	569
77	48	568
78	48	566
79	49	566
80	49	565
81	50	564
82	50	560
83	51	559
84	51	558
85	52	557
86	53	556
87	53	555
88	54	554
89	54	554
90	55	554
91	56	554
92	56	553
93	57	553
94	59	562
95	59	562
96	60	562
97	61	562
98	61	561
99	62	560
100	62	559
101	63	559
102	64	560
103	65	560
104	65	560
105	66	559
106	66	558
107	67	557
108	68	556
109	68	556
110	69	555
111	69	553
112	70	552
113	71	552
114	71	552
115	72	552
116	73	551
117	73	551
118	74	550
119	75	550
120	75	550
121	76	549
122	76	548
123	77	548
124	78	547
125	78	546
126	79	546
127	80	545
128	80	545
129	81	545
130	82	544
131	82	544
132	83	543
133	84	543
134	84	542
135	85	540
136	85	540
137	86	540
138	87	540
139	87	539
140	88	539
141	88	537
142	89	536
143	90	536
144	90	535
145	91	534
146	92	533
147	92	533
148	93	532
149	93	532
150	94	532
151	95	531
152	95	530
153	96	529
154	97	529
155	97	528
156	98	527
157	98	526
158	99	525
159	99	524
160	100	522
161	100	522
162	101	521
163	102	521
164	102	520
165	103	520
166	104	519
167	104	518
168	105	517
169	105	516
170	106	515
171	106	514
172	107	513
173	108	512
174	108	512
175	109	511
176	109	511
177	110	510
178	111	509
179	111	508
180	112	507
181	112	506
182	113	505
183	113	504
184	114	503
185	115	503
186	115	503
187	116	502
188	116	502
189	117	500
190	118	500
191	118	499
192	119	498
193	119	497
194	120	497
195	120	496
196	121	495
197	122	494
198	122	493
199	123	493
200	123	492
201	124	492
202	125	491
203	125	491
204	126	490
205	127	489
206	127	488
207	128	488
208	128	487
209	129	487
210	130	486
211	130	486
212	131	486
213	132	485
214	132	485
215	133	484
216	134	483
217	134	483
218	135	482
219	135	481
220	136	480
221	137	480
222	137	479
223	138	479
224	138	478
225	139	477
226	140	477
227	140	476
228	141	475
229	141	475
230	142	474
231	143	473
232	143	472
233	144	472
234	145	472
235	145	471
236	146	471
237	146	470
238	147	469
239	148	469
240	148	468
241	149	468
242	150	467
243	150	466
244	151	465
245	151	465
246	152	464
247	152	463
248	153	463
249	154	463
250	155	462
251	155	462
252	156	461
253	156	460
254	157	459
255	157	459
256	158	458
257	159	457
258	159	457
259	160	456
